7,8
0,7
0,9
10,1
14
17,4
19,7
17,8
11,9
6,6
0,5
3,1
6,3
0,5
2,3
6,4
12,3
16,6
17,5
18,3
15,2
9,2
2,5
0,1
0,1
2,5
3,4
10,9
18,5
20,4
20,1
19
16,3
7,5
0,8
1,5
6,4
9,9
0,6
9,7
12,1
15,9
17,8
16,1
12,8
4
2,1
1,2
7,1
1,4
2,4
7,6
14,5
16,8
18,5
16,6
11,8
6,8
3,6
4,9
6,4
5,6
1,8
7,9
12,1
16,1
16,6
17,3
11,4
7,4
4,2
6,5
5,6
6,8
1,8
6,1
17,2
20,6
16,3
18,5
14,2
5
0,4
0,5
7,7
5,0
4,3
6,4
10,7
16,6
18,5
16,7
13,1
8,4
0,8
1,7
4,8
2,6
1,7
4,8
15,6
20,2
20,4
17,4
13,3
9,1
1,3
1,7
3,6
5,1
1,4
6,4
14,6
16,3
17,9
18,7
14,7
8,1
3,4
1,7
0,9
3,1
3,1
10,4
17,4
17,7
18,5
17,9
15,2
7,6
0,5
1,7
2,7
5,9
0,1
9,3
16,2
15,3
17
17,5
14,8
9,5
0,2
5,1
9,9
13,4
3,2
8,9
16,6
16,2
17,4
19,8
12,1
7,7
1,6
1,5
2,9
9,5
0
10,5
15,8
18,9
18,3
19,2
12,1
6,6
1,4
3,8
14,4
4,4
6,0
4,6
13,8
17,8
19,7
15,8
12,7
6,7
2,2
3,0
0,9
0,4
1,3
10,2
15,2
19,8
19,6
18,2
14,2
7,7
3,3
5,0
0,5
2,5
5,1
10,1
15,2
19,4
19,3
19,6
14,1
9,1
0,1
0,2
0,1
2,8
6,9
9,4
14,5
16,9
18,4
18,4
12,1
8,7
5,2
2,3
1,7
5,7
0,5
9
12,8
18,5
21,2
18,8
14,9
8,7
2,4
2,8
1,8
1,7
3,7
7
13,7
18,7
20,6
22,9
13,4
6,4
1,5
3,6
1,2
2,4
0,9
8
16,5
16,7
17,9
17,5
11,4
7,7
6,0
0,1
0,2
5,7
1,3
11
13,2
16,4
21,1
19,1
17,8
8,1
1,1
3,4
3,8
2,2
3,5
8,7
14,1
20,1
20,4
19,7
13,8
9
0,3
5,4
9,7
7,1
2,7
9,3
18,7
18,9
19,3
19,1
11,1
8,6
6,7
4,0
5,7
1,2
1,7
6,1
16,1
18,3
19,4
19,2
11,7
6,2
3,1
4,2
0,9
0,4
1,3
10,2
15,2
19,8
19,6
18,4
14,2
7,7
3,3
5,1
2,5
1,6
3,4
11,8
13
22,4
22,9
19,4
15,7
8,2
0,2
0,3
4,0
0,1
1,7
13
15,9
18,5
19,6
20,8
12,4
9,5
4,5
1,3
1,0
2,5
2,7
11,5
11,2
17
24,8
21,5
13,8
9,5
2,3
7,4
2,6
3,7
5,5
9,9
16,5
18,4
24,3
20,7
13,9
7
3,9
8,4
3,8
6,4
0,1
7
19,4
18
21,3
19,2
14,1
6,8
3,4
0,6
4,3
2,6
3,8
9,1
13,4
17,7
20,5
20,1
14,2
9,2
2,8
0
0,9
5,4
1,8
10,3
16,4
17,3
21,4
20
16,3
8,7
2,1
1,1
7,8
6,2
0,1
9,8
14,3
18,4
20,9
19,9
15,4
9,4
3,4
2,4
2,1
3,3
6,3
8,9
18,5
20,4
21,3
21,5
14,8
9,2
0,4
1,1
3,0
0,3
4,5
10,7
14,4
18,8
20,8
21,5
13,3
10,4
3,3
0,5
3,4
1,6
2,4
11,1
15,1
20,4
21,7
19,2
16,8
9,1
4,5
3,1
8,8
3,1
1,1
10,3
17,3
22,2
24,4
24,6
14,9
6,2
7,9
-4,2
2,4
6,3
1,3
10,4
16,6
21,1
21,9
19,4
17,9
7,3
2,1
2,1
4,2
10,3
1,9
11,5
17,4
19,6
23,6
20,4
15,6
9,9
4,6
5,2
4,4
0.7
2
10
18,4
21,6
20,8
19,9
12,3
9,2
6,4
0,4
4,8
0,4
6,8
10,3
16,5
18,2
22
21,3
15,3
7,7
1,6
2,1
0,7
0,9
5,1
9,7
16
20,4
21,9
22,6
17,4
6,5
4,7
1,9
5,7
1,9
3,8
12,4
15,2
20,2
22,4
21,1
15,1
6,2
1,2
1,5
-5,1
-3,1
5,9
10,1
14,6
19,7
20,9
21,7
16,1
8,4
3,2
3
